distrito_ind,same_as_wikidata_distrito,numHabitantes
Arganzuela,https://wikidata.org/entity/Q2000929,34785.596
Barajas,https://wikidata.org/entity/Q807230,45607.789
Carabanchel,https://wikidata.org/entity/Q1001991,27919.225
Centro,https://wikidata.org/entity/Q1763376,32213.425
Chamartin,https://wikidata.org/entity/Q1766348,26712.537
Chamberi,https://wikidata.org/entity/Q1763370,22137.638
Ciudad-Lineal,https://wikidata.org/entity/Q1763694,52529.275
Fuencarral-El-Pardo,https://wikidata.org/entity/Q656196,50968.671
Hortaleza,https://wikidata.org/entity/Q1928529,28712.375
Latina,https://wikidata.org/entity/Q794954,27408.984
Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,39390.414
Moratalaz,https://wikidata.org/entity/Q2076109,32211.982
Puente-de-Vallecas,https://wikidata.org/entity/Q2003054,29417.402
Retiro,https://wikidata.org/entity/Q2002296,33729.684
Salamanca,https://wikidata.org/entity/Q1773521,20208.646
San-Blas,https://wikidata.org/entity/Q2001937,22645.706
Tetuan,https://wikidata.org/entity/Q1773540,19125.961
Usera,https://wikidata.org/entity/Q953368,38453.207
Vicalvaro,https://wikidata.org/entity/Q589403,27780.402
Villa-de-Vallecas,https://wikidata.org/entity/Q1947988,12703.708
Villaverde,https://wikidata.org/entity/Q919536,18638.054
