ESTACION_ID	NOMBRE	DIRECCION	Fecha alta	LONGITUD	LATITUD	NO2	SO2	CO	PM10	PM2_5	O3	BTX
4	Pza. de España	Plaza de España	1998-01-12T00:00:00Z	-37.122.567	404.238.823	true	true	true	false	false	false	false
8	Escuelas Aguirre	Entre C/ Alcala y C/ ODonell	1998-01-12T00:00:00Z	-36.823.158	404.215.533	true	true	true	true	true	true	true
11	Avda. Ramon y Cajal	Avda. Ramon y Cajal  esq. C/ Principe de Vergara	1998-01-12T00:00:00Z	-36.773.491	404.514.734	true	false	false	false	false	false	true
16	Arturo Soria	C/ Arturo Soria  esq. C/  Vizconde de los Asilos	1998-01-12T00:00:00Z	-36.392.422	404.400.457	true	false	false	false	false	true	false
17	Villaverde	C/. Juan Peñalver	1998-01-12T00:00:00Z	-37.133.167	40.347.147	true	true	false	false	false	true	false
18	Farolillo	Calle Farolillo - C/Ervigio	2001-03-31T00:00:00Z	-37.318.356	403.947.825	true	true	true	true	false	true	true
24	Casa de Campo	Casa de Campo  (Terminal del Teleferico)	1998-01-12T00:00:00Z	-37.473.445	404.193.577	true	false	false	true	true	true	true
27	Barajas Pueblo	C/. Jupiter, 21 (Barajas)	2002-12-31T00:00:00Z	-35.800.258	404.769.179	true	false	false	false	false	true	false
35	Pza. del Carmen	Plaza del Carmen esq. Tres Cruces.	1999-01-11T00:00:00Z	-37.031.662	404.192.091	true	true	true	false	false	true	false
36	Moratalaz	Avd. Moratalaz  esq. Camino de los Vinateros	1998-01-12T00:00:00Z	-36.453.104	404.079.517	true	true	false	true	false	false	false
38	Cuatro Caminos	Avda. Pablo Iglesias esq. C/ MarquÃ©s de Lema	1998-01-11T00:00:00Z	-37.071.303	404.455.439	true	false	false	true	true	false	true
39	Barrio del Pilar	Avd. Betanzos esq. C/  Monforte de Lemos	1998-01-05T00:00:00Z	-37.115.364	404.782.322	true	false	false	false	false	true	false
40	Vallecas	C/ Arroyo del Olivar  esq. C/  Rio Grande.	1999-09-30T00:00:00Z	-36.515.286	403.881.478	true	false	false	true	false	false	false
47	Mendez Alvaro	C/ Juan de Mariana / Pza. Amanecer Mendez Alvaro	2009-12-21T00:00:00Z	-36.868.138	403.980.991	true	false	false	true	true	false	false
48	Castellana	C/ Jose Gutierrez Abascal	2010-01-02T00:00:00Z	-36.903.729	404.398.904	true	false	false	true	true	false	false
49	Parque del Retiro	Paseo Venezuela- Casa de Vacas	2010-01-01T00:00:00Z	-36.824.999	404.144.444	true	false	false	false	false	true	false
50	Plaza Castilla	Plaza Castilla (Canal)	2010-01-02T00:00:00Z	-36.887.449	404.655.841	true	false	false	true	true	false	false
54	Ensanche de Vallecas	Avda La Gavia / Avda. Las Suertes	2009-11-12T00:00:00Z	-36.121.394	403.730.118	true	false	false	false	false	true	false
55	Urb. Embajada	C/ RiaÃ±o (Barajas)	2010-01-20T00:00:00Z	-35.805.649	404.623.628	true	false	false	true	false	false	true
56	Pza. Eliptica	Pza. Eliptica - Avda. Oporto	2010-01-18T00:00:00Z	-37.187.679	403.850.336	true	false	true	true	true	true	false
57	Sanchinarro	C/ Princesa de Eboli esq C/ Maria Tudor	2009-11-23T00:00:00Z	-36.605.173	404.942.012	true	true	false	true	false	false	false
58	El Pardo	Avda. La Guardia	2009-01-12T00:00:00Z	-37.746.101	405.180.701	true	false	false	false	false	true	false
59	Juan Carlos I	Parque Juan Carlos I (frente oficinas mantenimiento)	2009-12-14T00:00:00Z	-36.163.407	404.607.255	true	false	false	false	false	true	false
60	Tres Olivos	Plaza Tres Olivos	2010-08-02T00:00:00Z	-36.897.308	405.005.477	true	false	false	true	false	true	false
