LightRail_ID,LightRail_Name,Street_Type,Preposition,Street_Name,Number_Type,Portal_Number,Postal_Code,District_ID,X,Y
1,PLAZA DE TOROS,Calle,,Desconocida,N,S/N,,1,435675,4455333
2,REYES CATOLICOS,Calle,,Reyes Católicos,N,37,,1,434605,4453934
3,VIRGEN DEL CORTIJO,Avda,de,Manoteras,N,54,28050,16,444091,4482267
4,CANTABRIA,Avda,de,Cantabria,N,3,28660,1,426752,4472198
5,SIGLO XXI,Avda,del,Siglo XXI,N,1,28660,1,424366,4473314
6,JOSE ISBERT,Calle,,José Isbert,N,2,28223,1,433071,4472135
7,COLONIA DE LOS ANGELES,Ctra,,Carabanchel (M-502),N,63,28223,1,433552,4473458
8,AVENIDA DE EUROPA,Avda,,Comunidad de Madrid,N,3,28224,2,432850,4477027
9,TIERRA NORTE,Avda,de las,Estrellas,N,34,,1,435952,4452872
10,VENUS SUR,Avda,de los,Planetas,N,32,,1,435858,4453415
11,JAIME I SUR,Avda,de los,Planetas,N,6,,1,436105,4454286
12,MARIA TUDOR,Calle,de,María Tudor,N,15,28050,16,444277,4483356
13,LAS TABLAS,Calle,de,Palas de Rey,N,30,28050,8,443402,4484592
14,COLONIA JARDIN,Calle,de,Arenas de San Pedro,N,2,28024,10,434377,4472315
15,SOMOSAGUAS SUR,Calle,,Veritas,N,4,28223,1,432871,4474369
16,AVENIDA SISTEMA SOLAR,Avda,del,Sistema Solar,N,9,,1,435387,4453041
17,TIERRA SUR,Avda,de los,Planetas,N,31,,1,435724,4452940
18,VENUS NORTE,Avda,de las,Estrellas,N,20,,1,436088,4453350
19,COCHERAS,Ctra,de,Boadilla del Monte,S/N,90,28223,1,431891,4472326
20,ESTRELLA POLAR SUR,Avda,de los,Planetas,N,9,,1,435980,4453845
21,ESTRELLA POLAR NORTE,Avda,de las,Estrellas,N,25,,1,436210,4453780
22,JAIME I NORTE,Avda,de las,Estrellas,N,5,,1,436335,4454222
23,POLIGONO INDUSTRIAL CIUDAD DE PARLA,Calle,,Berlín,N,52,,1,436275,4454725
24,PRADO DE LA VEGA,Ctra,,Carabanchel (M-502),N,63,28223,1,433818,4472910
25,MONTEPRINCIPE,Avda,del,Montepríncipe,N,1,28925,1,429181,4472467
26,VENTORRO DEL CANO,Avda,del,Tranvía,S/N,S/N,28925,1,428981,4472056
27,PRADO DEL ESPINO,Calle,,Labradores,N,1,28660,1,428165,4472154
28,FERIAL DE BOADILLA,Ctra,de,Boadilla-Villaviciosa,N,13,28660,1,425487,4472951
29,BOADILLA CENTRO,Ctra,de,Boadilla-Majadahonda,N,40,28660,1,425437,4473526
30,NUEVO MUNDO,Avda,del,Nuevo Mundo,N,6,28660,1,424950,4473365
31,INFANTE DON LUIS,Avda,del,Siglo XXI,N,11,28660,1,423962,4473409
32,PUERTA DE BOADILLA,Avda,,Siglo XXI,S/N,S/N,28660,1,423423,4473617
33,LA BALLENA,Calle,,Real,N,94,,1,434929,4455549
34,CIUDAD DE LA IMAGEN,Calle,,Juan de Orduña,N,4,28223,1,433577,4472334
35,CIUDAD DEL CINE,Calle,,José Isbert,N,20,28223,1,432592,4472061
36,RETAMARES,Ctra,,Boadilla-Carabanchel (M-511),S/N,S/N,28223,1,430799,4472540
37,BLASCO IBAÑEZ,Calle,del,Príncipe Carlos,N,50,28050,16,444532,4482967
38,PALAS DE REY,Calle,de,Palas de Rey,N,18,28050,8,443760,4484278
39,PRADO DEL REY,Avda,,Radio y Televisión,N,4,28223,1,433294,4473822
40,SOMOSAGUAS CENTRO,Ctra,,Carabanchel (M-502),N,36,28223,1,432348,4474818
41,POZUELO OESTE,Ctra,,Carabanchel (M-502),N,63,28223,1,431865,4475234
42,BELGICA,Via,de las,Dos Castillas,N,5,28223,1,431612,4476070
43,DOS CASTILLAS,Via,de las,Dos Castillas,N,11,28223,1,432117,4476282
44,CAMPUS DE SOMOSAGUAS,Avda,del,Cerro,S/N,S/N,28223,2,432658,4476371
45,BERNA,Calle,,Plutón,N,1,28224,2,433013,4477643
46,JULIO ROMERO DE TORRES,Calle,,Julio Romero de Torres,N,2,,1,435271,4455475
47,IGLESIA CENTRO,Calle,,Real,N,28,,1,434561,4454633
48,BULEVAR SUR,Calle,,San Antón,N,4,,1,434407,4454304
49,ISABEL II,Calle,,Reyes Católicos,N,73,,1,435023,4453900
50,PARQUE PARLA ESTE,Calle,del,paraguay,N,16,,1,435327,4453567
51,ANTONIO SAURA,Calle,del,Príncipe Carlos,N,10,28050,16,444721,4482053
52,ALVAREZ DE VILLAAMIL,Calle,del,Príncipe Carlos,N,13,28050,16,444908,4482450
53,ESTACION DE ARAVACA,Calle,de la,Golondrina,N,104,28023,9,433465,4478023
54,PARLA CENTRO - BULEVAR NORTE,Calle,,Real,N,81,28981,1,434653,4454975
55,COLONIA JARDIN,Calle,de,Arenas de San Pedro,N,2,28024,10,434382,4472315
56,FUENTE DE LA MORA,Calle,de,Dulce Chacón,N,15,28050,16,443897,4481988
57,PINAR DE CHAMARTIN,Calle,de,Arturo Soria,N,330,28033,15,443589,4481471
