IDDistrict,Year,District,DogsNumber
2,2021,ARGANZUELA,10843
21,2021,BARAJAS,5139
11,2021,CARABANCHEL,20595
1,2021,CENTRO,16442
5,2021,CHAMARTÍN,11361
7,2021,CHAMBERÍ,13632
15,2021,CIUDAD LINEAL,17764
8,2021,FUENCARRAL-EL PARDO,17712
16,2021,HORTALEZA,16057
10,2021,LATINA,19253
9,2021,MONCLOA-ARAVACA,12572
14,2021,MORATALAZ,6865
13,2021,PUENTE DE VALLECAS,23675
3,2021,RETIRO,7942
4,2021,SALAMANCA,13880
20,2021,SAN BLAS,14538
6,2021,TETUÁN,12607
12,2021,USERA,12519
19,2021,VICÁLVARO,5335
18,2021,VILLA DE VALLECAS,10114
17,2021,VILLAVERDE,13470
